Name,Age,Tm,Lg,Lev,BA,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Austin Parent,--,UPB,AMCC,NCAA,.496,,33,159,119,47,59,17,3,9,48,4,1,34,13,.616,.916,1.532,109,,5,0,1,2
Toby Welk,21,PSB,NEAC,NCAA,.492,,36,160,118,52,58,14,5,13,57,4,2,28,6,.599,1.025,1.624,121,,8,3,3,5
Cam Coursey,19,GGC,ANI,NAIA,.485,,57,241,194,60,94,9,5,1,49,18,10,23,6,.530,.598,1.128,116,4,6,9,9,
Jake Schuster,20,MRW,CSAC,NCAA,.481,,34,149,129,41,62,20,3,6,34,7,1,18,13,.550,.822,1.372,106,,2,0,0,2
Daytona Bryden,23,WWH,WIAC,NCAA,.479,,41,196,165,75,79,17,9,9,41,29,2,23,18,.546,.855,1.401,141,,4,2,2,2
Chris Seibert,--,WSC,CAC,NCAA,.475,,33,145,120,32,57,13,1,10,41,2,1,17,9,.552,.850,1.402,102,,6,0,2,3
Alex Capetillo,--,CWR,UAA,NCAA,.471,,29,116,104,24,49,10,1,3,25,9,2,9,13,.517,.673,1.190,70,,2,0,1,0
Garrett Wilson,--,SPU,SLIA,NCAA,.470,,43,208,183,67,86,15,8,3,28,32,7,14,23,.525,.689,1.213,126,,7,4,0,0
Jared Melone,21,WCH,PSAC,NCAA,.469,,48,212,179,55,84,15,2,10,69,2,0,14,25,.524,.743,1.267,133,,13,0,6,0
Kiki Menendez,23,TWU,SOAC,NAIA,.466,,52,215,191,66,89,23,0,26,84,10,4,19,20,.512,.995,1.506,190,3,2,0,3,
Lane Milligan,23,OCU,SOAC,NAIA,.462,,59,276,223,72,103,10,15,15,90,8,2,44,19,.540,.843,1.383,188,1,2,0,7,
Andrew Mink,22,OGU,SAA,NCAA,.462,,38,156,132,29,61,12,1,7,34,7,2,11,21,.538,.727,1.266,96,,12,0,1,0
Scott Sada,--,PSE,AMCC,NCAA,.459,,42,187,159,57,73,21,5,6,47,16,1,18,21,.524,.767,1.291,122,,7,0,3,0
Greg Cullen,21,NIA,MAAC,NCAA,.458,,49,223,177,51,81,17,3,4,42,13,2,38,22,.556,.655,1.211,116,,5,0,3,5
Derek Manning,--,EZC,LANC,NCAA,.457,,39,168,151,42,69,22,1,3,35,9,4,10,12,.506,.675,1.181,102,,6,0,1,1
Grant Myers,22,MON,MDWC,NCAA,.453,,43,192,159,48,72,12,4,10,54,7,4,26,16,.531,.767,1.299,122,,4,0,3,3
Cal Aldridge,21,WWH,WIAC,NCAA,.451,,40,186,153,53,69,19,1,15,52,4,1,16,20,.505,.882,1.388,135,,9,0,8,0
Wesley Moss,22,SRS,ASWC,NCAA,.451,,41,195,144,54,65,9,2,0,32,28,3,45,18,.589,.542,1.130,78,,3,3,0,1
Dante Salerno,--,PSB,NEAC,NCAA,.451,,34,139,102,37,46,4,3,0,17,19,3,19,12,.541,.549,1.090,56,,8,4,6,0
Andrew Wilson,--,MCU,CPAC,NAIA,.451,,48,209,184,25,83,15,4,4,57,5,0,15,10,.502,.641,1.144,118,3,7,0,3,
Nathan Patton,--,UOD,SCAC,NCAA,.450,,38,168,140,39,63,13,1,2,43,6,2,17,22,.521,.600,1.121,84,,7,1,3,1
David Rodriguez,--,LHC,CUNY,NCAA,.450,,36,141,120,30,54,12,2,4,38,6,1,14,12,.507,.683,1.190,82,,3,1,3,1
Kyle Kolb,21,TCC,CCAC,NAIA,.449,,54,230,196,52,88,20,2,4,52,11,4,20,19,.513,.633,1.146,124,3,8,4,2,
Jacob Heller,--,TRI,MICA,NCAA,.444,,39,165,135,36,60,12,0,1,29,6,1,12,29,.513,.556,1.068,75,,10,5,3,2
Michael Mateja,21,NCC,CCIW,NCAA,.444,,42,204,162,54,72,20,4,4,38,11,2,27,19,.534,.691,1.226,112,,10,0,5,1
Sam Taylor,--,LBC,NEAC,NCAA,.444,,33,155,133,39,59,13,1,4,32,15,1,18,21,.503,.647,1.150,86,,1,0,3,1
Will Welsh,23,LBC,NEAC,NCAA,.444,,33,134,108,41,48,8,1,12,45,4,1,21,11,.530,.870,1.400,94,,2,0,3,5
