Name,Age,Tm,Lg,Lev,W,Aff,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Carson Fulmer,21,VDY,SEC,NCAA,14,,2,.875,1.83,2.26,19,19,,,2,0,127.2,81,32,26,7,50,1,167,9,3,13,513,1.026,5.7,0.5,3.5,11.8,3.34
Taylor Clarke,22,COC,CAA,NCAA,13,,1,.929,1.73,2.20,17,16,,,,1,114.1,76,28,22,7,14,0,143,6,1,2,434,0.787,6.0,0.6,1.1,11.3,10.21
Reese Gregory,21,SCS,NSUN,NCAA,13,,0,1.000,1.51,1.73,19,10,,,4,6,83.1,62,16,14,7,18,2,92,1,0,1,326,0.960,6.7,0.8,1.9,9.9,5.11
Mike Shawaryn,20,UMD,BTen,NCAA,13,,2,.867,1.71,2.17,17,17,,,0,0,116.0,85,28,22,4,29,0,138,5,0,1,466,0.983,6.6,0.3,2.3,10.7,4.76
Cody Butler,--,SMT,HLC,NCAA,12,,3,.800,3.03,3.85,16,16,,,1,0,110.0,101,47,37,4,32,0,89,5,3,7,459,1.209,8.3,0.3,2.6,7.3,2.78
Joseph Camacho,21,ASU,SWAC,NCAA,12,,0,1.000,3.84,4.38,13,13,,,0,0,84.1,93,41,36,2,20,0,76,5,1,4,365,1.340,9.9,0.2,2.1,8.1,3.80
Kris Gardner,23,SMT,HLC,NCAA,12,,3,.800,3.39,4.17,15,15,,,0,0,103.2,85,48,39,6,27,0,72,2,2,4,427,1.080,7.4,0.5,2.3,6.3,2.67
Matt Hall,21,MSU,MVC,NCAA,12,,2,.857,2.02,2.59,19,17,,,0,1,125.0,87,36,28,3,45,0,171,6,1,6,503,1.056,6.3,0.2,3.2,12.3,3.80
Alex Lange,19,LSU,SEC,NCAA,12,,0,1.000,1.97,2.21,17,17,,,1,0,114.0,87,28,25,3,46,1,131,3,0,12,467,1.167,6.9,0.2,3.6,10.3,2.85
Brandon Miller,20,MUP,PSAC,NCAA,12,,2,.857,2.59,2.79,14,13,,,3,0,87.0,76,27,25,6,13,0,85,8,0,5,354,1.023,7.9,0.6,1.3,8.8,6.54
Preston Morrison,21,TCU,B12,NCAA,12,,3,.800,2.51,3.32,19,17,,,2,0,122.0,100,45,34,7,22,0,91,7,1,3,487,1.000,7.4,0.5,1.6,6.7,4.14
Chris Murphy,22,MUP,PSAC,NCAA,12,,0,1.000,1.94,2.15,14,13,,,1,0,88.0,71,21,19,3,15,2,70,12,0,3,356,0.977,7.3,0.3,1.5,7.2,4.67
Ryan Olson,20,CPP,CCAA,NCAA,12,,0,1.000,1.73,1.93,17,14,,,0,1,88.2,56,19,17,1,23,0,92,6,0,7,345,0.891,5.7,0.1,2.3,9.3,4.00
Jackson Weeg,--,EMU,UAA,NCAA,12,,1,.923,2.59,3.22,15,14,,,0,0,100.2,91,36,29,3,24,0,98,10,1,5,429,1.142,8.1,0.3,2.1,8.8,4.08
Elliot Ashbeck,21,BRU,MVC,NCAA,11,,5,.688,3.55,4.44,17,17,,,1,0,101.1,104,50,40,8,24,1,82,9,0,5,436,1.263,9.2,0.7,2.1,7.3,3.42
Sam Crater,--,SHP,MEC,NCAA,11,,3,.786,1.71,2.68,16,14,,,2,0,84.0,52,25,16,3,25,0,86,9,0,4,339,0.917,5.6,0.3,2.7,9.2,3.44
Kevin Duchene,21,UIL,BTen,NCAA,11,,2,.846,1.75,2.37,15,15,,,0,0,102.2,89,27,20,3,18,0,88,12,1,1,419,1.042,7.8,0.3,1.6,7.7,4.89
Ryan McCormick,21,SJN,BigE,NCAA,11,,1,.917,2.66,3.65,17,15,,,1,1,91.1,74,37,27,1,25,0,70,5,0,5,370,1.084,7.3,0.1,2.5,6.9,2.80
James McMahon,23,USM,CUSA,NCAA,11,,1,.917,1.56,1.75,15,15,,,2,0,92.1,66,18,16,1,22,2,60,7,0,1,362,0.953,6.4,0.1,2.1,5.8,2.73
Steve Naemark,25,ASU,LSC,NCAA,11,,1,.917,1.37,2.09,21,18,,,0,2,125.0,93,29,19,3,23,0,138,3,1,6,493,0.928,6.7,0.2,1.7,9.9,6.00
Brendan O'Rourke,24,FPU,NE10,NCAA,11,,0,1.000,0.84,1.20,14,13,,,0,1,75.0,42,10,7,1,30,0,93,6,2,0,292,0.960,5.0,0.1,3.6,11.2,3.10
Ryan Reno,--,MSU,RMAC,NCAA,11,,2,.846,3.15,4.34,15,15,,,2,0,91.1,99,44,32,5,9,0,64,3,0,1,386,1.182,9.8,0.5,0.9,6.3,7.11
Andrew Richards,--,USM,LEC,NCAA,11,,5,.688,1.73,2.13,32,3,,,0,9,114.1,94,27,22,1,19,7,108,6,0,3,454,0.988,7.4,0.1,1.5,8.5,5.68
