Rk,Name,Age,Tm,Lg,Lev,BA,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,OBP,SLG,OPS,TB,GDP,HBP,SH,SF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Engel,--,UCH,UAA,NCAA,.486,,38,166,140,36,68,25,0,4,43,6,1,14,13,.545,.750,1.295,105,,8,1,3,1
Jake Fishman,20,UNY,LIBL,NCAA,.477,,36,130,111,26,53,7,1,0,23,9,5,17,15,.543,.559,1.101,62,,0,1,1,2
Will Albertson,21,CTW,SAC,NCAA,.467,,62,286,244,75,114,17,1,26,91,2,0,26,21,.531,.865,1.396,211,,12,0,4,7
Kevin Kaczmarski,23,UEV,MVC,NCAA,.465,,46,221,185,43,86,19,9,5,57,13,4,28,23,.543,.746,1.289,138,,6,0,2,4
John Malone,--,SVC,PRES,NCAA,.464,,35,130,110,21,51,7,1,1,26,3,3,10,8,.512,.573,1.085,63,,3,5,2,0
Michael Marino,--,FSC,SKYC,NCAA,.463,,34,130,108,28,50,10,1,1,21,26,4,17,19,.539,.602,1.141,65,,2,2,1,0
Ben Buerkle,20,SMM,MNIC,NCAA,.462,,36,153,132,46,61,11,4,7,47,18,3,15,19,.517,.765,1.282,101,,2,2,2,0
Benjamin Greenway,--,FBU,SLIA,NCAA,.462,,38,149,130,26,60,15,1,2,31,1,0,13,13,.520,.638,1.159,83,,4,1,1,1
Michael Logsdon,21,WVW,MEC,NCAA,.462,,39,149,132,31,61,12,2,2,26,0,1,10,16,.510,.629,1.139,83,,5,0,2,1
Matt Foley,21,RIC,LEC,NCAA,.453,,34,134,117,43,53,10,3,11,45,0,1,15,16,.515,.872,1.387,102,,1,0,1,4
Anthony Diminio,--,BAC,CCar,NCAA,.452,,50,220,197,42,89,18,1,3,47,13,10,14,18,.486,.599,1.085,118,,3,2,4,2
David Summerfield,--,MUP,PSAC,NCAA,.452,,54,202,177,38,80,10,2,3,46,8,1,20,17,.505,.582,1.087,103,,1,2,2,0
Nick Dean,23,MVL,USAS,NCAA,.451,,36,175,153,43,69,13,2,7,47,14,1,15,15,.514,.699,1.214,107,,6,0,1,1
Hunter Newman,21,TNU,GMAC,NCAA,.451,,54,251,195,67,88,21,4,18,77,8,3,39,14,.558,.877,1.435,171,,13,0,4,12
Jonathan Haught,--,UMW,CAC,NCAA,.450,,34,168,140,42,63,10,4,9,49,2,1,20,11,.530,.771,1.301,108,,6,0,2,0
Matt Peters,22,CUP,PSAC,NCAA,.446,,47,186,157,51,70,16,1,6,44,16,1,16,14,.505,.675,1.181,106,,7,2,4,0
Donovan Pogue,--,TMC,PRES,NCAA,.446,,37,162,130,44,58,10,0,6,50,5,0,25,13,.543,.662,1.205,86,,5,0,2,4
Clint Hardy,20,AGS,PBC,NCAA,.445,,37,165,146,49,65,13,3,8,31,11,0,12,17,.494,.740,1.234,108,,4,1,2,1
Ty Barkell,22,SCA,PBC,NCAA,.444,,32,150,133,37,59,10,2,6,46,5,2,13,13,.493,.684,1.178,91,,2,0,2,1
Caleb Lang,--,CAI,CSAC,NCAA,.444,,38,155,135,37,60,18,6,9,55,11,2,13,12,.490,.867,1.357,117,,3,0,4,3
Nick Sell,23,SHC,PSAC,NCAA,.444,,56,231,187,65,83,18,4,28,92,10,9,33,22,.520,1.032,1.552,193,,3,2,6,4
