Name,Age,Tm,Lg,Lev,BA,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Ryan McCarty,23,PSA,UEC,NCAA,.529,,44,237,189,89,100,27,3,29,91,22,4,36,13,.591,1.164,1.755,220,3,4,0,8,7
Cross Factor,24,OCU,SOAC,NAIA,.525,,53,237,200,89,105,28,4,30,92,19,1,29,19,.591,1.155,1.746,231,,6,0,2,
Jake Blinstrub,21,MSV,SKYC,NCAA,.494,,43,197,164,61,81,20,2,1,47,19,5,25,12,.563,.659,1.222,108,1,5,0,3,3
Jack Hanson,22,GAC,MNIC,NCAA,.491,,42,195,167,59,82,13,3,14,56,6,1,20,28,.544,.856,1.400,143,0,4,0,4,0
Keelyn Johnson,23,LAC,RRAC,NAIA,.481,,45,193,135,54,65,18,2,6,42,8,1,43,15,.625,.778,1.403,105,,12,1,2,
Haydn McGeary,22,MSU,RMAC,NCAA,.481,,57,271,214,86,103,17,1,35,79,3,1,43,40,.579,1.061,1.640,227,2,11,0,3,15
Mason Cox,--,MLC,UMAC,NCAA,.476,,31,126,105,23,50,10,0,2,17,6,1,7,10,.540,.629,1.168,66,0,11,0,3,0
Mac McCain,--,GRN,MDWC,NCAA,.472,,33,146,123,29,58,10,2,4,26,5,3,10,13,.514,.683,1.197,84,0,5,4,4,0
Miles Reid,--,TFT,NESC,NCAA,.469,,35,172,143,42,67,13,0,2,30,10,1,22,6,.547,.601,1.148,86,1,5,0,2,0
Brant Kym,23,HOP,MICA,NCAA,.468,,56,258,222,52,104,32,2,6,82,4,2,20,16,.527,.712,1.239,158,4,12,0,4,0
Derek Holmes,--,MVN,LANC,NCAA,.467,,40,172,150,34,70,15,1,4,37,4,3,14,9,.535,.660,1.195,99,3,8,0,0,5
Koki Matsuda,--,CCK,SOAC,NAIA,.465,,41,157,144,43,67,12,3,10,34,26,4,12,12,.510,.799,1.308,115,,1,0,0,
Alex Madera,21,ARC,FREC,NCAA,.464,,48,225,179,62,83,9,4,0,31,38,5,38,15,.554,.559,1.113,100,0,2,3,3,3
Anthony Cretella,--,CAZ,NATC,NCAA,.460,,29,123,100,29,46,6,1,1,19,7,2,20,19,.537,.570,1.107,57,0,0,0,3,0
Jackson Hornung,21,SKD,LIBL,NCAA,.460,,37,178,150,54,69,17,2,8,51,13,2,23,24,.539,.760,1.299,114,3,4,0,1,2
Nolan Machibroda,22,CUU,MSC,NAIA,.460,,47,197,150,51,69,14,0,17,83,7,3,40,37,.558,.893,1.452,134,,1,0,6,
Peyton Crispin,24,OCU,SOAC,NAIA,.456,,55,230,195,60,89,30,6,14,84,3,1,29,30,.526,.887,1.413,173,,3,0,3,
Mark Kirkland,21,RED,SCIA,NCAA,.454,,37,177,152,35,69,14,2,3,60,13,2,15,18,.497,.632,1.129,96,1,4,0,6,0
Bradon O'Connor,--,BDC,SIAC,NCAA,.454,,43,185,152,56,69,10,3,1,51,97,8,26,10,.551,.579,1.130,88,1,7,0,0,1
Ryan Decoursey,--,SJP,SKYC,NCAA,.453,,38,161,139,46,63,13,0,9,46,10,1,16,23,.503,.741,1.244,103,1,2,0,4,1
Miguel Oropeza,--,TAL,SSAC,NAIA,.452,,47,195,155,27,70,15,3,5,48,4,2,19,14,.554,.684,1.238,106,,19,0,2,
Ryan Enos,23,OSW,SUNY,NCAA,.451,,46,219,164,66,74,21,1,10,60,26,6,29,18,.566,.774,1.341,127,1,21,0,5,2
Jake Collins,--,CSU,WHAC,NAIA,.450,,43,176,149,50,67,14,2,12,55,7,1,17,21,.517,.812,1.329,121,,7,0,3,
Josh Simon,--,MVC,HAAC,NAIA,.450,,40,136,111,29,50,10,1,10,38,2,1,20,13,.529,.829,1.358,92,,2,0,3,
Jack Thomson,22,LCC,NRWC,NCAA,.450,,37,184,129,56,58,20,1,14,41,6,2,40,19,.614,.946,1.560,122,1,15,0,0,9
Micah Morgan,20,SHC,SIAC,NCAA,.446,,53,252,193,84,86,24,0,16,77,7,1,47,28,.560,.819,1.378,158,3,8,0,4,1
Tyler Horvat,21,WJC,PRES,NCAA,.445,,37,162,146,38,65,12,5,0,30,21,4,10,16,.494,.596,1.090,87,1,4,2,0,0
Seth Betts,22,CCO,UMAC,NCAA,.444,,45,201,169,66,75,14,3,12,46,42,3,21,39,.532,.775,1.307,131,0,11,0,0,0
Robbie Merced,23,CMU,HAAC,NAIA,.444,,57,233,171,67,76,11,4,24,86,10,3,46,36,.567,.977,1.543,167,,10,0,6,
Anthony Rago,--,THI,PRES,NCAA,.444,,37,165,151,41,67,14,0,5,19,5,0,12,10,.488,.636,1.124,96,1,1,1,0,0
Paul Tammaro,22,OSW,SUNY,NCAA,.444,,46,221,180,68,80,16,2,7,26,27,3,19,23,.528,.672,1.200,121,2,15,5,2,0
Brant Schaffitzel,23,DRU,GLVC,NCAA,.443,,41,173,122,40,54,13,4,1,33,1,0,31,13,.560,.639,1.199,78,2,4,14,2,0
Jay French,22,CBC,AMWC,NAIA,.441,,55,236,195,76,86,19,4,10,37,61,6,35,24,.528,.733,1.261,143,,3,1,2,
Ethan Hunt,24,OPS,SOAC,NAIA,.441,,49,197,170,58,75,12,3,13,58,9,5,20,18,.508,.776,1.284,132,,5,0,2,
Joe Ruth,21,LGC,USAS,NCAA,.441,,53,271,247,76,109,22,2,10,83,10,3,15,14,.469,.668,1.137,165,5,3,0,6,1
Joseph Smith,22,SSU,SIAC,NCAA,.441,,43,197,161,67,71,9,9,9,41,15,3,23,22,.528,.776,1.304,125,0,10,0,3,3
Connor Evans,--,CHC,CACC,NCAA,.440,,43,169,150,32,66,10,4,1,31,21,4,7,13,.455,.580,1.035,87,1,2,4,6,0
Kanta Kobayashi,26,BVU,NSAA,NAIA,.439,,62,291,244,88,107,19,7,5,42,22,10,33,16,.517,.635,1.153,155,,8,5,1,
Roger Riley,--,REG,RMAC,NCAA,.439,,47,202,171,55,75,16,0,8,44,3,0,11,10,.498,.673,1.170,115,5,14,1,5,0
Spence Johns,--,BRC,SAA,NCAA,.438,,38,172,137,49,60,7,4,2,36,8,2,27,23,.541,.591,1.132,81,1,6,0,2,8
EJ Taylor,23,SNU,GAC,NCAA,.438,,48,211,169,62,74,15,3,16,49,5,1,30,21,.536,.846,1.382,143,2,9,0,3,2
Kit Wigington,--,CCS,RMAC,NCAA,.437,,44,195,174,49,76,19,2,16,54,1,1,15,31,.477,.845,1.322,147,2,2,0,4,0
Alex Baumann,22,UMM,UMAC,NCAA,.436,,33,140,117,41,51,15,4,4,36,14,1,11,18,.493,.735,1.228,86,0,7,0,5,0
Chad Evans,--,PSB,UEC,NCAA,.436,,32,138,117,33,51,17,2,6,38,7,2,12,27,.500,.769,1.269,90,0,6,0,3,1
Evan Maday,23,HOP,MICA,NCAA,.436,,76,384,298,102,130,18,14,22,92,50,6,54,28,.547,.812,1.359,242,6,26,0,6,6
Aidan Brewer,20,HIL,GMAC,NCAA,.435,,48,210,186,50,81,19,1,11,50,17,3,24,32,.500,.726,1.226,135,0,0,0,0,2
Marc Cisco,--,QNC,ECC,NCAA,.435,,43,194,154,51,67,12,3,10,49,4,2,33,38,.526,.747,1.273,115,1,2,0,5,0
Turner Hill,23,MRT,OHAC,NCAA,.433,,48,250,208,75,90,19,2,1,51,33,7,31,6,.514,.558,1.072,116,2,7,1,3,2
Nick Olsen,--,LTU,WHAC,NAIA,.433,,47,191,150,49,65,12,4,13,50,11,3,28,23,.545,.827,1.371,124,,11,0,2,
Chandler Simpson,21,GTU,ACC,NCAA,.433,,47,241,203,64,88,8,3,1,25,27,4,31,16,.506,.517,1.024,105,0,2,2,3,0
Dan Carter,--,WPU,NJAC,NCAA,.432,,45,212,190,36,82,14,2,9,62,1,0,11,29,.467,.668,1.135,127,4,6,0,5,0
Yan Rivera,--,KYC,APAC,NAIA,.432,,43,148,125,35,54,11,3,0,20,2,1,9,6,.493,.568,1.061,71,,8,4,2,
Kaimana Souza-Paaluhi,24,MMC,HAAC,NAIA,.432,,51,205,169,45,73,15,6,10,47,9,2,28,19,.517,.769,1.286,130,,5,0,3,
Nate Vigeant,24,SAP,APAC,NAIA,.432,,53,228,199,56,86,26,0,4,52,13,2,23,8,.489,.623,1.112,124,,2,1,3,
Blake Bean,22,KZC,MICA,NCAA,.431,,78,370,274,118,118,36,4,18,88,32,8,58,36,.573,.788,1.361,216,0,36,0,2,0
John Lynch,--,SJP,SKYC,NCAA,.431,,34,118,102,26,44,16,1,1,33,3,0,6,13,.492,.637,1.129,65,3,8,0,2,1
Ryan Major,--,LSS,RRAC,NAIA,.431,,53,210,174,62,75,13,6,4,55,11,6,23,12,.483,.644,1.127,112,,2,3,8,
Braylin Marine,21,NWB,SAC,NCAA,.431,,51,244,209,59,90,21,6,2,73,33,9,22,31,.475,.617,1.092,129,4,3,2,8,2
Jonah Advincula,21,RED,SCIA,NCAA,.430,,39,187,151,54,65,3,5,7,38,28,3,27,9,.540,.656,1.196,99,0,9,0,0,0
Justin Lee,--,ASU,LSC,NCAA,.430,,62,292,223,77,96,21,4,9,81,27,5,52,28,.555,.682,1.237,152,2,13,2,2,1
Cal Parrillo,20,RIC,LEC,NCAA,.430,,40,196,165,51,71,14,2,7,52,7,1,24,19,.505,.667,1.172,110,3,4,0,3,0
Thomas Paulich,--,SIT,FREC,NCAA,.430,,42,166,149,35,64,8,1,5,33,10,2,11,19,.482,.597,1.079,89,3,5,0,1,0
Josh Surowiec,23,MRH,PSAC,NCAA,.430,,49,206,158,52,68,12,0,17,57,8,4,39,21,.558,.829,1.387,131,5,8,0,1,4
Luke Sweeney,--,SHC,SIAC,NCAA,.430,,49,211,186,54,80,12,0,2,54,5,0,10,11,.471,.527,.998,98,5,8,3,4,0
Corey Zientek,--,USC,LANC,NCAA,.430,,39,188,151,52,65,14,4,6,48,23,3,23,24,.516,.695,1.211,105,0,9,0,5,1
Matthew Carlsen,--,BUS,MNIC,NCAA,.429,,46,216,177,56,76,12,2,8,57,9,3,19,12,.505,.655,1.160,116,0,14,0,6,2
Blake Greenly,--,LBC,UEC,NCAA,.429,,38,182,147,54,63,13,2,10,27,28,3,26,14,.538,.748,1.287,110,0,9,0,0,2
Michael Marrale,22,WIL,CSAC,NCAA,.429,,30,125,105,35,45,16,2,3,31,5,0,16,28,.496,.705,1.201,74,0,1,0,3,0
Jack Olver,--,WLC,WIAC,NCAA,.429,,42,199,175,43,75,17,0,7,42,2,0,15,17,.457,.646,1.103,113,3,1,0,8,0
Sam Riola,--,SCS,NSUN,NCAA,.429,,50,227,182,65,78,8,5,22,66,30,7,35,26,.533,.890,1.423,162,1,8,0,2,4
