Name,Age,Tm,Lg,Lev,W,Aff,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Kade Bragg,21,ASU,LSC,NCAA,15,,1,.938,1.20,1.46,18,16,,4,3,2,104.2,63,17,14,5,39,0,124,3,0,4,411,0.975,5.4,0.4,3.4,10.7,3.18
Rhett Lowder,21,WKF,ACC,NCAA,15,,0,1.000,1.87,2.24,19,19,,0,0,0,120.1,90,30,25,9,24,0,143,10,1,2,470,0.947,6.7,0.7,1.8,10.7,5.96
Jarrett Brannen,--,KWU,KCAC,NAIA,14,,1,.933,5.56,6.67,17,16,,1,,0,89.0,97,66,55,9,36,,79,,,,,1.494,9.8,0.9,3.6,8.0,2.19
Reece Fields,21,NGU,CCar,NCAA,13,,2,.867,4.58,5.33,19,19,,1,1,0,96.1,89,57,49,7,29,0,109,8,0,10,417,1.225,8.3,0.7,2.7,10.2,3.76
Zack Potts,--,LBG,ODAC,NCAA,13,,0,1.000,2.16,3.13,18,17,,2,1,1,120.2,114,42,29,1,28,0,99,8,0,1,507,1.177,8.5,0.1,2.1,7.4,3.54
Paul Skenes,21,LSU,SEC,NCAA,13,,2,.867,1.69,2.05,19,19,,2,0,0,122.2,72,28,23,7,20,0,209,3,0,8,462,0.750,5.3,0.5,1.5,15.3,10.45
Sayers Collins,--,ETB,ASWC,NCAA,12,,2,.857,2.64,3.09,16,16,,4,0,0,99.0,72,34,29,9,32,0,135,12,0,4,407,1.051,6.5,0.8,2.9,12.3,4.22
Eli Davis,25,OCU,SOAC,NAIA,12,,2,.857,1.83,2.44,17,16,,6,,1,103.1,74,28,21,1,32,,137,,,,,1.026,6.4,0.1,2.8,11.9,4.28
Connelly Early,21,UVA,ACC,NCAA,12,,3,.800,3.09,3.61,19,18,,0,0,0,87.1,82,35,30,8,23,0,100,3,0,2,358,1.202,8.5,0.8,2.4,10.3,4.35
Dylan Gotto,24,MSK,NSUN,NCAA,12,,2,.857,4.38,5.02,16,13,,2,0,0,98.2,117,55,48,13,14,1,90,7,0,6,424,1.328,10.7,1.2,1.3,8.2,6.43
Tanner Hall,21,USM,SBC,NCAA,12,,4,.750,2.48,3.20,18,18,,2,0,0,112.1,84,40,31,6,33,0,124,10,2,3,455,1.042,6.7,0.5,2.6,9.9,3.76
Cameron Horner,--,AMU,TSC,NAIA,12,,3,.800,4.76,5.36,17,17,,1,,0,90.2,93,54,48,9,41,,83,,,,,1.478,9.2,0.9,4.1,8.2,2.02
Omar Melendez,19,ASU,SWAC,NCAA,12,,0,1.000,2.52,2.90,16,15,,4,2,0,93.0,88,30,26,5,27,0,96,5,0,3,387,1.237,8.5,0.5,2.6,9.3,3.56
Andrew Neff,22,CWV,MEC,NCAA,12,,2,.857,4.41,4.83,21,4,,1,0,2,87.2,89,47,43,7,26,0,95,14,0,3,382,1.312,9.1,0.7,2.7,9.8,3.65
Dominic Niman,22,CCS,NEC,NCAA,12,,2,.857,2.77,3.29,15,15,,2,0,0,104.0,86,38,32,8,26,0,94,10,0,6,424,1.077,7.4,0.7,2.3,8.1,3.62
Enrico Peele,23,SSU,SIAC,NCAA,12,,2,.857,2.96,3.55,14,14,,5,4,0,76.0,71,30,25,3,29,0,66,10,0,4,335,1.316,8.4,0.4,3.4,7.8,2.28
Jeremiah Reddell,--,ASU,SIAC,NCAA,12,,0,1.000,2.05,2.92,13,13,,5,1,0,83.1,72,27,19,2,23,0,72,9,0,6,353,1.140,7.8,0.2,2.5,7.8,3.13
