Name,Age,Tm,Lg,Lev,BA,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Traverse Briana,22,SSC,MSAC,NCAA,.528,,32,128,108,31,57,10,0,4,22,12,3,15,3,.578,.731,1.310,79,,2,0,3,5
Toby Welk,22,PSB,NEAC,NCAA,.483,,39,183,145,56,70,17,5,13,58,11,4,23,6,.555,.938,1.493,136,,8,1,6,8
Blaine Milheim,--,CMI,WHAC,NAIA,.482,,59,241,191,65,92,17,1,5,51,39,5,35,17,.565,.660,1.225,126,1,8,2,5,
Matthew Putman,--,CWI,CCIW,NCAA,.472,,35,150,123,33,58,4,1,3,25,4,0,18,12,.557,.593,1.151,73,,7,1,1,2
Connor Harding,20,USC,LANC,NCAA,.464,,39,180,151,46,70,8,9,3,34,14,3,20,14,.517,.695,1.212,105,,3,0,6,2
Patrick Keohane,--,JCU,OHAC,NCAA,.459,,35,174,148,46,68,15,0,5,39,18,5,16,12,.523,.662,1.185,98,,7,0,3,1
Cam Coursey,20,GGC,ANI,NAIA,.458,,61,282,227,66,104,19,9,5,63,20,3,40,12,.535,.687,1.222,156,1,2,9,4,
Josh Elvir,23,ASU,LSC,NCAA,.458,,55,239,179,75,82,17,9,20,81,11,1,50,40,.584,.989,1.573,177,,7,1,2,6
Mitchell Lundholm,--,FSH,ANI,NAIA,.454,,57,251,218,66,99,20,5,2,82,24,3,19,17,.502,.619,1.121,135,2,8,0,6,
Nate Sides,22,ALV,COMC,NCAA,.453,,46,214,190,59,86,15,5,3,49,17,1,21,14,.507,.632,1.139,120,,1,1,1,11
Will Welsh,24,LBC,NEAC,NCAA,.453,,32,150,128,42,58,11,2,9,43,1,0,16,12,.520,.781,1.301,100,,4,0,2,3
Graham Low,22,MAC,MNIC,NCAA,.452,,34,136,115,27,52,15,2,2,21,5,0,17,12,.537,.670,1.206,77,,4,0,0,2
Dylan Nolan,21,WEL,NEAC,NCAA,.452,,33,145,124,31,56,10,4,6,30,3,2,10,21,.517,.742,1.259,92,,9,0,2,1
Jose Rojas,--,UCU,MSC,NAIA,.451,,39,161,144,39,65,18,0,4,33,4,1,14,5,.491,.660,1.150,95,2,0,0,3,
Nick Fowkes,--,THI,PRES,NCAA,.447,,39,178,159,47,71,15,3,5,46,10,1,14,17,.494,.673,1.167,107,,3,0,2,1
Austin Sojka,--,OWU,KCAC,NAIA,.447,,55,254,199,80,89,18,2,14,53,2,1,35,17,.556,.769,1.324,153,2,16,2,2,
Davis Mikell,23,CSC,LEC,NCAA,.446,,38,174,139,32,62,10,2,6,33,6,1,29,24,.552,.676,1.228,94,,5,0,1,12
