Name,Age,Tm,Lg,Lev,W,Aff,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Colton Williams,23,USA,SOAC,NAIA,16,,0,1.000,1.33,1.49,18,16,,7,3,0,108.2,72,18,16,1,25,,136,4,0,7,423,0.893,6.0,0.1,2.1,11.3,5.44
Cole Bellair,22,TWU,APAC,NAIA,13,,2,.867,1.67,2.72,19,16,,5,1,1,102.2,80,31,19,10,20,,97,8,0,3,416,0.974,7.0,0.9,1.8,8.5,4.85
Jack Bunting,--,JHU,CENT,NCAA,13,,0,1.000,2.33,2.75,17,12,,2,0,0,85.0,81,26,22,3,10,0,75,5,1,2,340,1.071,8.6,0.3,1.1,7.9,7.50
Tucker Burgess,24,NGU,CCar,NCAA,13,,2,.867,2.16,3.07,20,20,,1,0,0,108.1,89,37,26,11,15,0,113,8,0,1,442,0.960,7.4,0.9,1.2,9.4,7.53
Reid Detmers,19,ULV,ACC,NCAA,13,,4,.765,2.78,2.78,19,18,,0,0,0,113.1,71,35,35,12,33,0,167,7,0,1,444,0.918,5.6,1.0,2.6,13.3,5.06
Drake Fellows,21,VDY,SEC,NCAA,13,,2,.867,4.09,4.40,19,19,,2,1,0,116.2,111,57,53,9,47,0,133,17,0,17,516,1.354,8.6,0.7,3.6,10.3,2.83
Zack Harvey,22,URG,RSC,NAIA,13,,3,.813,2.86,3.63,17,16,,4,3,0,104.0,97,42,33,7,26,,128,6,0,4,442,1.183,8.4,0.6,2.3,11.1,4.92
Ryan Johnson,26,LCU,HLC,NCAA,13,,2,.867,2.54,3.05,16,16,,8,1,0,106.1,83,36,30,5,39,0,117,7,2,8,441,1.147,7.0,0.4,3.3,9.9,3.00
Jean Muntaner,21,USA,SOAC,NAIA,13,,1,.929,2.86,4.01,18,16,,2,1,0,94.1,71,42,30,6,34,,98,19,3,7,411,1.113,6.8,0.6,3.2,9.3,2.88
Keven Pimentel,23,TPA,SSC,NCAA,13,,2,.867,2.48,3.08,19,19,,1,0,0,119.2,93,41,33,3,33,0,111,10,4,3,482,1.053,7.0,0.2,2.5,8.3,3.36
Chris Slavik,--,ASH,GLIC,NCAA,13,,1,.929,2.75,3.61,29,0,,0,0,8,52.1,42,21,16,2,20,1,75,1,2,4,218,1.185,7.2,0.3,3.4,12.9,3.75
Michael Anderson,21,OWU,KCAC,NAIA,12,,1,.923,3.39,4.15,17,16,,9,2,0,106.1,108,49,40,8,18,,80,10,2,4,458,1.185,9.1,0.7,1.5,6.8,4.44
Isaiah Campbell,21,UOA,SEC,NCAA,12,,1,.923,2.13,2.74,18,18,,0,0,0,118.1,87,36,28,5,22,0,125,3,0,4,455,0.921,6.6,0.4,1.7,9.5,5.68
Joe Corbett,22,WTA,LSC,NCAA,12,,1,.923,2.44,2.73,15,14,,5,1,0,92.1,66,28,25,8,21,0,136,7,0,1,371,0.942,6.4,0.8,2.0,13.3,6.48
Andrew Dean,22,UIS,GLVC,NCAA,12,,0,1.000,2.77,3.36,15,15,,0,0,0,91.0,74,34,28,5,28,0,118,9,3,4,380,1.121,7.3,0.5,2.8,11.7,4.21
Ethan Elliott,22,LMU,SAC,NCAA,12,,2,.857,2.23,2.82,14,14,,2,1,0,92.2,72,29,23,7,14,0,134,2,0,6,359,0.928,7.0,0.7,1.4,13.0,9.57
Ian Exposito,23,STU,TSC,NAIA,12,,3,.800,3.16,3.99,17,17,,4,2,0,108.1,89,48,38,9,29,,129,11,0,7,451,1.089,7.4,0.7,2.4,10.7,4.45
Tommy Henry,21,MIC,BTen,NCAA,12,,5,.706,3.27,3.77,20,19,,2,2,0,124.0,102,52,45,12,26,0,135,9,1,9,506,1.032,7.4,0.9,1.9,9.8,5.19
Alex Huey,--,FHU,AMWC,NAIA,12,,2,.857,2.88,3.33,17,15,,5,3,0,100.0,92,37,32,5,22,,94,8,2,1,407,1.140,8.3,0.5,2.0,8.5,4.27
Ryan Jensen,21,FSU,MWC,NCAA,12,,1,.923,2.88,3.24,16,15,,1,1,1,100.0,82,36,32,3,27,0,107,5,2,7,412,1.090,7.4,0.3,2.4,9.6,3.96
Karl Kauffmann,21,MIC,BTen,NCAA,12,,7,.632,3.03,4.06,21,20,,0,0,1,130.2,107,59,44,7,39,1,111,8,0,9,543,1.117,7.4,0.5,2.7,7.6,2.85
Matt Lindsley,--,YCN,KCAC,NAIA,12,,2,.857,3.10,3.98,15,13,,3,1,0,101.2,87,45,35,1,38,,104,11,0,4,435,1.230,7.7,0.1,3.4,9.2,2.74
DJ Masuck,--,NYT,ECC,NCAA,12,,2,.857,3.26,4.26,18,13,,4,0,1,99.1,83,47,36,8,31,1,81,10,1,7,411,1.148,7.5,0.7,2.8,7.3,2.61
Matt Mulhearn,21,WBU,SLIA,NCAA,12,,2,.857,2.13,2.30,19,15,,5,1,0,105.2,87,27,25,3,11,1,102,8,2,4,409,0.927,7.4,0.3,0.9,8.7,9.27
Kumar Rocker,19,VDY,SEC,NCAA,12,,5,.706,3.25,3.61,19,16,,1,1,0,99.2,88,40,36,2,21,0,114,7,5,7,414,1.094,7.9,0.2,1.9,10.3,5.43
Matthew Williams,21,CUA,ASWC,NCAA,12,,2,.857,3.26,3.82,17,14,,5,4,0,96.2,90,41,35,5,20,1,93,4,0,7,398,1.138,8.4,0.5,1.9,8.7,4.65
Jake Agnos,21,ECU,Amer,NCAA,11,,3,.786,2.29,2.56,17,17,,0,0,0,102.0,74,29,26,9,43,0,145,9,0,10,429,1.147,6.5,0.8,3.8,12.8,3.37
Evan Gillespie,24,FAU,SSAC,NAIA,11,,1,.917,1.68,2.66,15,15,,4,1,0,91.1,76,27,17,2,29,,87,9,1,4,387,1.150,7.5,0.2,2.9,8.6,3.00
John Howard,22,WSL,UAA,NCAA,11,,1,.917,1.23,2.05,14,12,,2,0,1,87.2,68,20,12,2,13,0,100,2,0,3,341,0.924,7.0,0.2,1.3,10.3,7.69
Zach Kammin,22,COE,ARC,NCAA,11,,1,.917,2.68,3.03,14,13,,2,0,0,77.1,56,26,23,0,28,0,77,12,1,5,326,1.086,6.5,0.0,3.3,9.0,2.75
Payton Kinney,24,UNO,SUMT,NCAA,11,,2,.846,1.96,1.96,17,17,,1,0,0,115.0,75,25,25,6,39,1,111,4,0,8,449,0.991,5.9,0.5,3.1,8.7,2.85
Zack LeBlanc,23,FSH,ANI,NAIA,11,,4,.733,3.01,3.98,16,15,,2,1,0,92.2,81,41,31,2,38,,86,18,0,8,406,1.284,7.9,0.2,3.7,8.4,2.26
Tony Locey,20,UGA,SEC,NCAA,11,,2,.846,2.53,2.83,16,15,,0,0,0,89.0,51,28,25,8,45,0,97,7,0,12,359,1.079,5.2,0.8,4.6,9.8,2.16
Ben Marsico,--,WJC,PRES,NCAA,11,,2,.846,3.27,3.78,15,14,,2,2,0,88.0,87,37,32,0,10,1,56,3,3,5,367,1.102,8.9,0.0,1.0,5.7,5.60
Irving Martin,27,TWU,APAC,NAIA,11,,2,.846,3.90,3.90,21,12,,2,1,2,80.2,76,35,35,7,27,,96,4,1,2,339,1.277,8.5,0.8,3.0,10.7,3.56
Ian McCole,--,CMI,FREC,NCAA,11,,1,.917,2.28,2.69,15,13,,2,1,0,87.0,88,26,22,0,22,0,64,8,1,0,371,1.264,9.1,0.0,2.3,6.6,2.91
Kade Mechals,21,GRC,WAC,NCAA,11,,1,.917,2.16,2.36,16,15,,0,0,0,91.2,64,24,22,8,35,1,100,6,0,3,378,1.080,6.3,0.8,3.4,9.8,2.86
Matt Merrill,21,USA,SOAC,NAIA,11,,3,.786,2.50,2.71,18,16,,3,0,1,86.1,43,26,24,3,59,,129,8,1,11,353,1.181,4.5,0.3,6.2,13.4,2.19
Bryce Milligan,20,OCU,SOAC,NAIA,11,,2,.846,1.94,2.37,14,14,,4,2,0,83.2,58,22,18,2,18,,113,8,0,4,340,0.908,6.2,0.2,1.9,12.2,6.28
Dalton Minton,--,DSU,GSC,NCAA,11,,3,.786,2.82,3.50,16,15,,2,1,1,92.2,83,36,29,8,37,1,74,3,1,5,399,1.295,8.1,0.8,3.6,7.2,2.00
Jack Ralston,21,ULA,P12,NCAA,11,,1,.917,2.66,3.11,17,17,,0,0,0,101.1,79,35,30,6,33,0,110,3,0,12,411,1.105,7.0,0.5,2.9,9.8,3.33
Hunter Riggins,20,DSU,GSC,NCAA,11,,4,.733,1.88,3.52,16,16,,4,1,0,110.0,97,43,23,3,33,1,82,7,0,5,467,1.182,7.9,0.2,2.7,6.7,2.48
Orlando Rodriguez,23,STU,TSC,NAIA,11,,2,.846,2.63,3.01,15,15,,1,0,0,95.2,74,32,28,6,41,,113,8,0,13,394,1.202,7.0,0.6,3.9,10.6,2.76
Noah Song,22,USN,PatL,NCAA,11,,1,.917,1.44,1.44,14,14,,6,2,0,94.0,55,15,15,2,31,0,161,3,0,4,366,0.915,5.3,0.2,3.0,15.4,5.19
Zak Spivy,23,WIU,TSC,NAIA,11,,4,.733,2.32,3.26,17,15,,10,1,0,124.1,106,45,32,5,18,,102,26,1,4,504,0.997,7.7,0.4,1.3,7.4,5.67
Luke Summers,20,FBU,SLIA,NCAA,11,,2,.846,0.67,1.15,13,13,,8,3,0,94.0,51,12,7,3,23,0,127,6,0,6,359,0.787,4.9,0.3,2.2,12.2,5.52
Kyle Adkins,--,TMC,GSAC,NAIA,10,,2,.833,4.59,6.36,15,12,,4,0,0,86.1,95,61,44,10,38,,60,12,4,9,397,1.541,9.9,1.0,4.0,6.3,1.58
Brett Aker,--,ACU,GSAC,NAIA,10,,3,.769,4.52,6.02,21,16,,0,0,0,89.2,114,60,45,10,26,,54,10,0,7,416,1.561,11.4,1.0,2.6,5.4,2.08
Trent Baker,20,ASU,LSC,NCAA,10,,1,.909,2.65,2.96,16,16,,4,2,0,85.0,76,28,25,10,21,0,70,0,0,5,350,1.141,8.0,1.1,2.2,7.4,3.33
Tyler Blomster,--,CSM,RMAC,NCAA,10,,3,.769,4.30,4.60,15,13,,4,1,2,88.0,91,45,42,8,32,1,98,5,0,15,392,1.398,9.3,0.8,3.3,10.0,3.06
Ben Brecht,21,UCB,BigW,NCAA,10,,2,.833,4.10,4.90,16,16,,0,0,0,90.0,90,49,41,9,18,0,101,5,1,1,378,1.200,9.0,0.9,1.8,10.1,5.61
Cam Brown,21,CMU,MAC,NCAA,10,,1,.909,3.20,3.66,16,16,,1,0,0,98.1,89,40,35,4,30,0,79,9,0,4,413,1.210,8.1,0.4,2.7,7.2,2.63
Jack Brunetti,--,UCH,MEC,NCAA,10,,1,.909,2.60,3.16,12,12,,6,3,0,79.2,65,28,23,6,15,0,57,8,0,2,326,1.004,7.3,0.7,1.7,6.4,3.80
Tyson Cronin,22,OWU,KCAC,NAIA,10,,0,1.000,2.41,2.70,14,13,,8,2,0,93.1,75,28,25,2,21,,85,15,0,3,379,1.029,7.2,0.2,2.0,8.2,4.05
Victor Del Carmen,--,SCC,SOAC,NAIA,10,,1,.909,2.96,3.49,13,13,,5,1,0,67.0,46,26,22,2,22,,95,8,1,8,273,1.015,6.2,0.3,3.0,12.8,4.32
Chase Dowell,--,MIN,CRS,NAIA,10,,2,.833,4.71,4.82,22,8,,2,0,2,80.1,92,43,42,1,26,,45,16,0,7,366,1.469,10.3,0.1,2.9,5.0,1.73
Clayton Doyle,--,LSA,RRAC,NAIA,10,,3,.769,4.67,5.00,15,14,,2,1,0,81.0,72,45,42,2,55,,111,8,0,8,374,1.568,8.0,0.2,6.1,12.3,2.02
Jensen Elliott,22,OSU,B12,NCAA,10,,4,.714,3.56,4.10,17,17,,3,1,0,98.2,81,45,39,5,37,0,62,5,0,3,410,1.196,7.4,0.5,3.4,5.7,1.68
Nick Estrella,21,APU,PWC,NCAA,10,,1,.909,3.57,3.77,15,15,,0,0,0,88.1,79,37,35,12,26,1,69,9,1,6,370,1.189,8.0,1.2,2.6,7.0,2.65
Andres Fernandez,--,WAU,TSC,NAIA,10,,6,.625,3.72,4.46,17,17,,3,2,0,109.0,121,54,45,8,20,,96,9,0,1,472,1.294,10.0,0.7,1.7,7.9,4.80
Kyle Fulton,23,CMU,HAAC,NAIA,10,,2,.833,3.66,3.98,16,15,,1,1,0,83.2,74,37,34,7,33,,89,12,0,5,358,1.279,8.0,0.8,3.5,9.6,2.70
Ryan Garcia,21,ULA,P12,NCAA,10,,1,.909,1.44,2.30,16,13,,1,1,0,94.0,52,24,15,5,26,0,117,3,1,4,360,0.830,5.0,0.5,2.5,11.2,4.50
Grant Gardner,--,WMT,GSAC,NAIA,10,,2,.833,5.15,5.67,14,14,,1,0,0,87.1,99,55,50,10,22,,45,10,0,4,380,1.385,10.2,1.0,2.3,4.6,2.05
Michael Giacone,22,NGU,CCar,NCAA,10,,1,.909,2.16,2.92,16,16,,1,0,0,83.1,54,27,20,8,27,0,113,3,0,8,330,0.972,5.8,0.9,2.9,12.2,4.19
Houston Glad,23,TWU,SOAC,NAIA,10,,4,.714,3.29,4.55,19,17,,6,1,0,93.0,94,47,34,5,29,,98,16,0,15,418,1.323,9.1,0.5,2.8,9.5,3.38
Hayes Heinecke,20,WOF,SoCo,NCAA,10,,2,.833,2.65,3.57,16,15,,1,1,0,88.1,82,35,26,4,15,0,84,3,0,5,364,1.098,8.4,0.4,1.5,8.6,5.60
Jonathan Hernandez,--,CPU,SCIA,NCAA,10,,0,1.000,2.85,3.33,17,17,,3,1,0,113.2,93,42,36,3,32,0,96,9,0,6,463,1.100,7.4,0.2,2.5,7.6,3.00
Tim Holdgrafer,22,CPP,CCAA,NCAA,10,,4,.714,4.39,4.67,15,15,,2,1,0,96.1,98,50,47,8,29,1,86,11,0,5,417,1.318,9.2,0.7,2.7,8.0,2.97
Michael Horrell,22,CPB,BigS,NCAA,10,,3,.769,2.62,3.63,15,13,,1,0,0,89.1,79,36,26,8,13,0,85,7,1,5,366,1.030,8.0,0.8,1.3,8.6,6.54
Chance Hroch,22,NMS,WAC,NCAA,10,,1,.909,2.74,4.96,15,15,,2,2,0,85.1,82,47,26,4,30,0,69,3,0,9,372,1.313,8.6,0.4,3.2,7.3,2.30
Ryan Huber,--,PPU,RSC,NAIA,10,,1,.909,3.18,3.77,16,1,,0,0,1,45.1,30,19,16,1,14,,53,3,1,1,179,0.971,6.0,0.2,2.8,10.5,3.79
Garrett Hutson,22,MSU,RMAC,NCAA,10,,1,.909,3.32,3.75,16,14,,5,2,1,84.0,69,35,31,7,21,0,100,2,0,3,338,1.071,7.4,0.8,2.3,10.7,4.76
Dan Hyatt,--,WIL,CACC,NCAA,10,,1,.909,2.97,4.40,16,12,,0,0,2,75.2,73,37,25,1,20,0,80,3,0,7,327,1.229,8.7,0.1,2.4,9.5,4.00
M.D. Johnson,21,DBU,MVC,NCAA,10,,2,.833,2.76,3.21,16,16,,0,0,0,98.0,71,35,30,10,29,1,110,6,0,10,386,1.020,6.5,0.9,2.7,10.1,3.79
Jakob Kirman,21,CLK,HAAC,NAIA,10,,2,.833,2.60,3.04,17,15,,4,1,0,103.2,95,35,30,1,20,,98,5,0,3,424,1.109,8.2,0.1,1.7,8.5,4.90
Cam Kline,--,MSK,NSUN,NCAA,10,,2,.833,2.48,3.94,13,13,,6,2,0,80.0,70,35,22,6,16,0,112,3,1,2,331,1.075,7.9,0.7,1.8,12.6,7.00
Stephen Knapp,22,BVU,NSAA,NAIA,10,,3,.769,2.67,3.30,15,15,,8,5,0,101.0,87,37,30,4,15,,54,10,4,6,409,1.010,7.8,0.4,1.3,4.8,3.60
Ben Lambert,21,USM,LEC,NCAA,10,,1,.909,1.38,2.13,12,10,,1,0,0,71.2,47,17,11,1,30,1,67,1,0,3,294,1.074,5.9,0.1,3.8,8.4,2.23
Pat Leatherman,23,CMU,MAC,NCAA,10,,1,.909,2.80,3.20,17,16,,0,0,0,90.0,72,32,28,7,31,0,89,5,0,4,372,1.144,7.2,0.7,3.1,8.9,2.87
Collin Liberatore,--,ISU,MVC,NCAA,10,,2,.833,2.96,3.31,16,16,,1,1,0,103.1,75,38,34,8,35,1,80,5,1,3,411,1.065,6.5,0.7,3.0,7.0,2.29
Josh Loeschorn,19,CWP,ECC,NCAA,10,,0,1.000,1.34,1.90,16,10,,4,2,3,80.2,49,17,12,3,11,0,67,11,5,2,313,0.744,5.5,0.3,1.2,7.5,6.09
Carlos Lomeli,20,SMC,WCC,NCAA,10,,2,.833,3.05,3.25,16,14,,1,1,0,88.2,81,32,30,7,13,1,58,10,1,3,353,1.060,8.2,0.7,1.3,5.9,4.46
Keven Long,23,SEU,TSC,NAIA,10,,1,.909,2.31,2.61,16,13,,0,0,0,89.2,67,26,23,5,40,,87,4,1,4,374,1.193,6.7,0.5,4.0,8.7,2.18
Noah Lorenzo,--,CWP,ECC,NCAA,10,,4,.714,2.55,2.92,14,13,,7,0,0,98.2,88,32,28,8,16,1,58,5,0,3,402,1.054,8.0,0.7,1.5,5.3,3.63
Greg Loukinen,21,GGC,ANI,NAIA,10,,3,.769,3.19,3.83,18,15,,2,0,0,98.2,79,42,35,8,39,,101,13,1,10,423,1.196,7.2,0.7,3.6,9.2,2.59
Eddie Mathis,23,BEL,GLVC,NCAA,10,,4,.714,3.80,4.55,17,15,,5,1,0,97.0,108,49,41,10,14,1,87,5,1,3,414,1.258,10.0,0.9,1.3,8.1,6.21
Andrew McInvale,22,LIB,ASun,NCAA,10,,3,.769,3.41,3.84,17,17,,0,0,0,103.0,88,44,39,11,40,1,101,8,0,5,431,1.243,7.7,1.0,3.5,8.8,2.53
Richie Misischia,22,BSO,SAA,NCAA,10,,1,.909,2.82,4.14,21,3,,0,0,6,54.1,41,25,17,1,32,1,62,5,0,9,240,1.344,6.8,0.2,5.3,10.3,1.94
Davis Moore,21,FSU,MWC,NCAA,10,,1,.909,3.91,4.01,16,15,,2,0,0,89.2,85,40,39,9,34,0,91,12,0,3,388,1.327,8.5,0.9,3.4,9.1,2.68
Jayden Murray,22,DSC,RMAC,NCAA,10,,3,.769,3.78,4.64,14,14,,2,0,0,83.1,76,43,35,7,18,0,92,11,0,2,355,1.128,8.2,0.8,1.9,9.9,5.11
Zack Noll,21,PLN,PWC,NCAA,10,,2,.833,2.92,3.02,14,14,,1,0,0,83.1,72,28,27,4,29,0,102,0,1,6,345,1.212,7.8,0.4,3.1,11.0,3.52
Andre Pallante,20,UCI,BigW,NCAA,10,,4,.714,2.68,3.64,15,15,,0,0,0,94.0,73,38,28,7,29,0,89,6,0,5,383,1.085,7.0,0.7,2.8,8.5,3.07
Hunter Parsons,22,UMD,BTen,NCAA,10,,3,.769,3.45,3.62,15,15,,0,0,0,104.1,88,42,40,10,32,0,78,14,1,1,436,1.150,7.6,0.9,2.8,6.7,2.44
Walter Pennington,21,CSM,RMAC,NCAA,10,,3,.769,3.51,4.39,14,14,,4,0,0,92.1,100,45,36,6,22,1,93,6,0,10,400,1.321,9.7,0.6,2.1,9.1,4.23
Patrick Raby,22,VDY,SEC,NCAA,10,,1,.909,3.08,4.03,18,15,,0,0,0,76.0,75,34,26,5,46,0,81,2,1,6,344,1.592,8.9,0.6,5.4,9.6,1.76
Nick Roth,22,RMC,ODAC,NCAA,10,,0,1.000,1.93,2.14,11,11,,4,1,0,84.0,70,20,18,4,7,0,98,3,0,1,325,0.917,7.5,0.4,0.8,10.5,14.00
Jacob Sawyers,--,FHU,AMWC,NAIA,10,,3,.769,3.48,4.39,17,16,,4,1,0,98.1,92,48,38,9,25,,100,7,1,4,418,1.190,8.4,0.8,2.3,9.2,4.00
Ethan Small,22,MSU,SEC,NCAA,10,,2,.833,1.93,2.19,18,18,,0,0,0,107.0,61,26,23,8,32,0,176,8,0,3,418,0.869,5.1,0.7,2.7,14.8,5.50
Austin Steel,--,FHU,AMWC,NAIA,10,,3,.769,3.49,4.02,15,14,,6,1,0,100.2,98,45,39,12,14,,88,7,0,7,421,1.113,8.8,1.1,1.3,7.9,6.29
